leagueId,queueType,tier,rank,summonerId,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
b427cc26-d1cb-4854-8c67-e1b7e9eb0616,RANKED_SOLO_5x5,DIAMOND,IV,IU_RIOEOgRK43dqxy9ESW8CAV638Adu6YcS8IAvCL6Vihf8,IDpHvWoWD52WLppyE3xCNdEYCzexdodkklfnlyLDjpATLu_Gf85nsrasiJAB6DCSDpnwVKsrTvrPAg,35,66,63,False,False,False,True
cb801f08-73fb-40b3-ac27-5357b7dec1f0,RANKED_SOLO_5x5,DIAMOND,IV,_XQqkmUBERGx2Hm5QAYk-v7lqMigMnIXZwNjDBYe4s-byp8,uYX4-mo1-Vno9n2WcTOb2Fp8OS3u4fDcaZUqCGK5O4rfKYF26HnQQijnZg2a0w_vgXlp9eAqdMBhsw,94,26,32,False,False,False,False
068ce5bd-b56d-4cdd-bad6-5b9ea5f67746,RANKED_SOLO_5x5,DIAMOND,IV,T0WqmfrnZdYpgBpEloQLrnpK7ml4bZ4zNNFmtAGTmPhJrxY,H9bEE2AxXPJdGn00bQ9Kwim7ugiz-Usmll291vKHsL3aQYB0C-Q4s1qykGwYvfM2iXuZWCbrK8c5ig,27,19,29,False,False,True,True
bc4ca177-97fa-48c9-a04d-515bd2d177dd,RANKED_SOLO_5x5,DIAMOND,IV,MIhpe2k0PT1pPAj_yRrjZEer5Ss02wp3B5mPVt0epJlU3Z8,PQtEdRAjEheF7l6Rp6XnSAeD1jm3HUT6-vYLgxcghQEEC3iuQO-IwqgiFQMRkRHyegxvaYXTfELZMA,38,36,25,False,False,False,False
14bacdaa-56a7-4678-b34d-c44211ab1e39,RANKED_SOLO_5x5,DIAMOND,IV,lUwqOps74cJsY7scRug9Wbguo6ChkhRvsJUDirQbAh-aKkM,xnYucJIrVIkXZEOHBvL2KajIL6M3bbwMCqPYq0vx1AMYAYGzElfk6nQ_bH9GZ8Tq1eGjYenEPZZCmA,17,90,72,False,False,False,False
b1994bf3-45c0-4838-9924-2e4b19acfe5b,RANKED_SOLO_5x5,DIAMOND,IV,ROPvh_DYuMIPKHIxnW4MdF6rC5Q_ofQcLgcD2g9uzEp2UZg,XicfNHO6GQPlqyUCic1oIg_I4oyMvcXUVbMVGwcjCBbulBLUc9bUuBBNVD4A6l0vwcEZsIA0gvwIIQ,21,50,35,False,False,False,False
9ec26dda-eb1f-4c71-a3d8-06e619a34d5d,RANKED_SOLO_5x5,DIAMOND,IV,vL5t203r6em-dKQNK3ppZI6hKNlVhLEf_NwU_BaDp1gZPUI,XmwZV0h3tve-OLMKR3SMfZ3RSQH1NiGPztRIGcQfYaDR9L6kqXmtZlNLXNVlLs-nLZDBeaTls6qoXQ,19,191,193,False,False,True,False
20550cbe-4fc4-4dae-a99d-1bdaa2ba9606,RANKED_SOLO_5x5,DIAMOND,IV,-QkvoJSRgvZOfwPJUvI76jyCNOchwJRyocgpI_HEgWdZrQ4,5uDoG3Ylj6GCn-MrgLZxah_65vSeZP616RrJDCtK7agOpN8dSIujnd0uAT90_8hSvqkL2veH5_cxLQ,66,36,32,False,False,True,False
f6358ddd-a238-438a-ab31-d2a7c7f61fd3,RANKED_SOLO_5x5,DIAMOND,IV,vy2TIxEojr9v5I7QC6EY4uOvugcJwWvUnTNwYMc97oT_ErQ,ycVLkRSPAwkHPPnru8B75F5TqcWmSnuj5aHizNkLdE0OW9xqY3whu_wUmLQuCGkSo1-uPHQLeo64oQ,87,8,4,False,False,False,True
8b28659b-bb7a-45eb-bc72-b34de2b63eeb,RANKED_SOLO_5x5,DIAMOND,IV,LcJ5dQYFkJmy5NFPz2y_KXRxStxcXt5Ad4v-gatkAKhs-1A,tnb4GNskIQ3Yn7kF4RBL1CZYceDUNakOvM04GRxLx3qNXTzrVwUUVVBE5xzfFvA791ppxBl9VxC9uw,5,28,28,False,False,False,True
ab80dea9-9dc7-4012-a45d-de36f71844a6,RANKED_SOLO_5x5,DIAMOND,IV,PlfkqjDSphv8KgfwO9XxIWVnyfSMou6e-GFYro7KcD33tvI,BBItvZhA-fpaiI0HnfX-5WmBWzseqsFRkG6COtg7AytfDcTIYAvTbegebgIZpj6_ooeIi26diafnsQ,92,106,80,False,False,False,True
